细分类,英文,可视化目的,视觉定义,适用场景,数据特征,code,extraction
基础条形图,Single Bar Chart,"比较,分布",使用宽度相等的水平或垂直条形，通过条形的长度来表示数值大小的统计图表,用于比较不同类别之间的数值大小、展示排名分布、显示各类别占比情况，适合类别数量适中(通常不超过20个)且需要精确比较数值的场景,需要两列数据：一列为类别(文本型)，一列为对应的数值(数值型)。数据结构要求扁平化，每行表示一个类别及其对应的值,Matplotlib,1
分组条形图,Grouped Bar Chart,"比较,分布",在基础条形图的基础上，每个类别包含多个子类别的条形，这些子类别的条形并排放置，形成分组展示效果的统计图表,用于同时比较多个系列在不同类别下的数值对比，特别适合展示具有层级关系的数据，如不同产品在各个地区的销售额、多个部门在各季度的业绩表现等多维度对比分析,需要至少三列数据：主类别列(文本型)、子类别列(文本型)、数值列(数值型)。数据需要按主类别和子类别进行分组，每行表示一个子类别在特定主类别下的数值,Matplotlib,1
堆叠条形图,Stacked Bar Chart,"比较,分布,组成","基于基础条形图,将每个条形再细分为多个部分,不同部分以不同颜色堆叠在一起,每个部分的长度代表该类别下不同子项的数值大小,所有部分长度之和代表总量","适用于展示整体与部分的关系,比较不同类别的总量及其内部构成,分析各组成部分的占比变化。常用于人口结构、收入构成、市场份额等数据的可视化",需要至少三列数据：一列为主类别(文本型)，一列为子类别(文本型)，一列为对应的数值(数值型)。数据需要按主类别和子类别分组,Matplotlib,1
正负条形图,Positive-Negative Bar Chart,比较,使用水平或垂直条形展示正负两个方向的数值，通常以零点为基准线，向两侧延伸的统计图表,用于展示具有正负值的对比数据，如收支盈亏、温度变化、人口增减、市场涨跌等双向对比场景，特别适合展示偏差、变化量或相对基准的差异,需要至少两列数据：一列为类别(文本型)，一列为可正可负的数值(数值型)。数据必须包含正负值，且有明确的零点基准,Plotly,1
双向柱图,Bidirectional Bar Chart,"比较,分布",在一个中轴线左右两侧分别展示相关数据的柱状图，常以零轴或均值为中轴，向两侧延伸展示对比数据,适用于展示两个相对的维度数据对比，如男女比例、正负值对比、收入支出对比、前后对比等需要突出对立关系的场景,需要三列数据：一列为类别(文本型)，两列为对应的左右对比值(数值型)。每行表示一个类别及其对应的两个对比值,Plotly,1
蝴蝶图,Butterfly Diagram,"比较,分布",以中轴线为对称轴，左右两侧呈镜像分布的图表，形似蝴蝶翅膀，可以是条形图或人口金字塔等形式,适用于人口结构分析、年龄性别分布对比、组织架构对称分析等需要展示对称性或相似性比较的场景,需要三列数据：一列为共同的分组依据(如年龄段)，两列为左右对称的数据值。数据需成对出现，且左右两侧数据具有对应关系,Plotly,1
区间柱状图,Range Bar Chart,"比较,分布",每个柱子显示数据的范围区间，通常用一个柱子表示最小值到最大值的范围，可带有中间值标记,适用于展示数据的波动范围、置信区间、最大最小值范围、数据抖动情况等需要表现数据分布区间的场景,需要至少三列数据：一列为类别(文本型)，两列为区间的上下限值(数值型)。可选添加中间值、均值等统计量,Matplotlib,1
瀑布图,Waterfall Plot,"组成,流向","连续的正负柱形图,展示累积效果",分析财务报表、成本构成、利润贡献等需要展示累积效果的场景,"可累加的连续数据,每个值都基于前值增减",Matplotlib,1
蜡烛图,Candlestick Plot,"分布,趋势","使用矩形柱体和垂直线条组成的金融图表,每根蜡烛由开盘价、收盘价、最高价和最低价四个价格点组成。矩形实体表示开收价格区间,上下影线表示最高最低价格","主要用于金融证券、期货、外汇等金融市场的价格走势分析,可以直观显示一段时期内的价格波动和趋势变化","需要时间序列数据,每个时间点必须包含开盘价、收盘价、最高价、最低价四个数据值。数据通常具有连续性和时序性",Plotly,0
基础直方图,Single Histograms,分布,"由一系列等宽矩形柱组成,高度表示频数或频率的统计图","展示连续型数值变量的分布情况,如年龄分布、成绩分布等","连续型数值变量,需要分组统计频率",Matplotlib,0
矩形漏斗图,Rectangular Funnel Chart,"组成,流向","以矩形方式展现漏斗状的数据流向,从上到下逐级递减的矩形块,每个矩形块的宽度代表数值大小","展示具有层级关系的转化流程,如销售转化漏斗、用户行为转化、业务流程等场景,适合展示各个环节的转化率和数值变化","数据具有明显的层级递减关系,通常为3-7个层级,每个层级有对应的数值,且数值从上到下逐渐减小",Plotly,1
箱线图,Box Plot,"比较,分布","一种显示一组数据分散情况的统计图,由一个矩形框(箱体)和两条线(须)组成。箱体显示数据的四分位数,须线代表最大最小值,异常值以单独的点显示。",用于展示连续数据的分布特征、比较多组数据的分布差异、识别异常值，适合需要分析数据离散程度、对称性和异常值的场景,需要至少一列数值型数据，可以有一列分组变量(文本型)。数据应为连续型数值，每个观测值占一行,Matplotlib,0
误差柱图,Error Bars Chart,"比较,分布",在数据点或柱形图上添加垂直或水平线段，用以表示数据的不确定性范围或变异程度，通常显示标准差、标准误差或置信区间,用于展示测量数据的精确度、置信区间、标准差等统计量，适合需要表示数据可靠性或不确定性的科学研究场景,需要三列数据：类别(文本型)、数值(数值型)、误差值(数值型)。每行表示一个观测及其对应的误差范围,Matplotlib,0
子弹图,Bullet Chart,比较,将目标值、实际值和量化范围整合在一起的线性图表，包含主量度条、比较度量标记和定性范围背景,用于展示目标完成情况、性能指标对比、进度跟踪，适合需要同时展示目标值、实际值和参考范围的管理监控场景,需要多个数值：主量度值、比较量度值(目标)、以及定性范围的分段值(通常为3-5个区间值),Plotly,1
嵌套柱形图,Nested Bar Chart,"比较,组成",在同一柱形内部嵌套显示多个相关数据的柱状图，内部柱形宽度小于外部柱形,用于展示整体与部分的关系、对比实际值与目标值、显示数据的层级结构，适合需要比较相关数据集之间关系的场景,需要至少两列数值型数据和一列分类数据，数值数据表示嵌套关系中的外层和内层值，每行代表一个完整的嵌套观测,Plotly,1
滑珠图,Dumbbell Plot,比较,在水平线或垂直线上用两个圆点标记表示同一类别的两个不同时间点或状态的数值，两点之间用线段连接，形似哑铃,展示同一指标在不同时间点的变化、对比前后差异、显示数值区间范围，特别适合展示变化趋势和对比关系,需要三列数据：一列为类别(文本型)，两列为对应的起始和终止数值(数值型)。每行代表一个完整的类别及其两个对比值,Matplotlib,1
杠铃图,Barbell Chart,比较,使用两个水平条形表示同一类别的两个数值，并用线段连接，形似杠铃,比较同一对象在不同条件下的表现、展示数据范围或变化区间、对比两个时间点的差异,需要三列数据：一列为类别(文本型)，两列为对应的起始和终止数值(数值型)。每行表示一个类别及其两个对比值,Plotly,1
棒棒糖图,Lollipop Plot,比较,由一个圆点和与之相连的垂直或水平线段组成，线段从基线延伸到数据点，形似棒棒糖,展示单一变量的分布情况、显示排名数据、比较不同类别的数值大小，适合强调个别数据点的场景,需要两列数据：一列为类别(文本型)，一列为对应的数值(数值型)。数据结构要求扁平化，每行代表一个类别及其值,Matplotlib,1
基础折线图,Single Line Chart,趋势,在直角坐标系中用直线段连接数据点来表示数据随时间变化趋势的图表,展示连续时间序列数据的变化趋势，如股票价格走势、温度变化、销售额增长等时间序列数据,需要两列数据：一列为时间维度(日期型或文本型)，一列为对应的数值(数值型),Matplotlib,1
多列折线图,Grouped Line Chart,"比较,趋势",在同一坐标系中绘制多条折线，每条折线代表一个独立的数据系列,比较多个相关指标随时间的变化趋势，如不同产品的销售额对比、多个地区的温度变化对比等,需要至少三列数据：一列为时间维度(日期型或文本型)，其余列为多个指标的数值(数值型),Plotly,1
堆叠折线图,Stacked Line Chart,"组成,趋势",多条折线累加显示，每条线代表一个分类，上方的线的值是该类别与下方所有类别的总和,展示整体与部分的关系，以及各部分随时间的累积变化，如各产品类别销售额的累积贡献、多个来源流量的叠加等,需要至少三列数据：一列为时间维度(日期型或文本型)，其余列为待堆叠的各个类别的数值(数值型),Plotly,1
斜率图,Slope Graph,"比较,趋势",用直线连接两个时间点的数值，展示起止时间点间的变化情况,比较多个对象在两个时间点之间的变化程度，如不同国家GDP的增长变化、前后测试分数的对比等,需要三列数据：一列为类别名称(文本型)，两列为起止时间点的数值(数值型),Plotly,1
阶梯线图,Step Chart,"比较,趋势",用水平和垂直的线段连接数据点，形成阶梯状的折线图,展示离散变化或状态突变的数据，如库存水平变化、设备状态切换、人员等级晋升等,需要两列数据：一列为时间或序列维度(日期型或文本型)，一列为对应的数值或状态(数值型或文本型),Plotly,1
基础面积图,Single Area Chart,趋势,在折线图的基础上，将折线与x轴之间的区域进行填充，形成连续的色块区域。通过面积的高度变化展示数据的变化趋势,适合展示单个指标随时间的变化趋势，特别适用于表达连续性数据的累积效果，如网站访问量、销售额等随时间的变化,需要两列数据：一列为时间维度(日期型或文本型)，一列为对应的数值(数值型)。数据应按时间顺序排列,Plotly,1
多列面积图,Grouped Area Chart,"比较,趋势",在同一坐标系中展示多个指标的面积图，每个指标使用不同颜色的面积，各个面积图之间相互独立不重叠,用于同时比较多个相关指标随时间的变化趋势，如不同产品的销售额对比、多个地区的温度变化对比等,需要多列数据：一列为时间维度(日期型或文本型)，其余列为不同指标的数值(数值型)。数据应按时间顺序排列,Plotly,1
堆叠面积图,Stacked Area Chart,"组成,趋势",将多个面积图沿Y轴方向层层叠加，每个系列的数值都基于前一个系列的顶部，展示整体与部分的关系,适合展示整体随时间的变化，同时显示各组成部分的占比变化，如市场份额分析、收入构成分析、人口结构变化等,需要多列数据：一列为时间维度(日期型或文本型)，其余列为不同分类的数值(数值型)。各分类数值在每个时间点都需要有值,Plotly,1
双向面积图,Bilateral Area Chart,"比较,趋势",以基准线为中心，向上下两个方向延伸的面积图，上下两部分的面积分别代表两组相对的数据,用于对比两个相对的数据系列，如人口金字塔(男女人口)、正负值对比、收入支出对比等场景，特别适合展示数据的对称性或反差,需要三列数据：一列为公共维度(通常为时间或类别)，两列为需要对比的数值，其中一组数值需转换为负值。数据应按维度排序,Plotly,1
区间面积图,Range Area Chart,"分布,趋势",在折线图的基础上，通过填充上下边界线之间的区域来表示数据范围的图表,适用于展示数据的变化区间、置信区间、最大最小值范围、数据波动范围等，常用于股票价格区间、温度范围、预测区间等场景,需要至少三列数据：一列为维度(通常为时间)，两列为上下边界值(数值型)。,Plotly,1
河流图,Streamgraph,"趋势,流向","河流图是一种堆叠面积图的变体,各系列数据以水平中轴线为基准向两侧延伸,整体形状类似流动的河流,通常使用平滑的曲线连接数据点","适合展示多个类别随时间的变化趋势及其相对占比,特别适用于表达音乐流派发展、网站访问量变化、人口结构变迁等时间序列数据的对比分析","需要包含时间维度和多个类别的连续数据,各类别在每个时间点都有对应的数值,数据量较大时效果更好,类别数量建议在3-10个之间",Matplotlib,0
误差带图,Error Bands Chart,"分布,趋势",在折线图或散点图上添加一个阴影区域来表示数据的不确定性范围或置信区间，通常显示为沿着中心线上下的带状区域,展示数据的趋势及其不确定性范围，如时间序列数据的预测区间、测量数据的误差范围、统计模型的置信区间等,需要一组基准数据（通常是时间序列）以及相应的上下限值或误差范围，数据包含连续的x轴值和对应的y值及其误差范围,Matplotlib,0
密度图,Density Plot,分布,一种用曲线显示数据分布形状的统计图表，通过核密度估计将离散数据点平滑成连续的密度曲线,展示连续型数据的分布特征、识别数据的峰值和集中趋势、比较不同组别数据的分布差异、观察数据的偏态和尾部特征,要求数据为连续型数值数据，样本量需要足够大以保证密度估计的准确性，可以包含单个或多个变量的数据分布,Matplotlib,0
基础饼图,Single Pie Chart,"比较,组成",将圆形按照数据比例划分成不同的扇形区域，每个扇区代表一个类别及其占比,展示部分与整体的关系，适合表达占比关系且类别数量较少(通常不超过8个)的场景，常用于市场份额、费用分布等,需要两列数据：一列为类别(文本型)，一列为对应的数值(数值型)。所有数值之和构成100%的总体,Plotly,1
嵌套饼图,Multidimensional Pie Chart,"比较,组成,层级",在基础饼图的基础上，每个扇区内部再细分为多个子扇区，形成多层级的饼图结构,展示具有层级关系的占比数据，适合表达两个或多个维度的分类数据，如产品大类与子类的市场份额分布,需要至少三列数据：父类别(文本型)、子类别(文本型)、对应的数值(数值型)。数据需要包含层级关系,Plotly,1
环形图,Donut Pie Chart,"比较,组成",将基础饼图的中心挖空形成环状，保持扇形区域的比例关系不变,与饼图类似，但视觉效果更清晰，中心区域可添加总计数值或其他重要信息，适合展示单一维度的占比关系,需要两列数据：一列为类别(文本型)，一列为对应的数值(数值型)。所有数值之和构成100%的总体,Matplotlib,1
双层环图,Multilevel Donut Chart,"比较,组成,层级",由两个同心环形图组成，内环和外环表示不同维度的数据分布,展示两个相关维度的占比关系，如各地区销售额分布与其利润分布的对照，适合双维度数据的比较分析,需要至少三列数据：类别(文本型)、第一维度数值(数值型)、第二维度数值(数值型),Plotly,1
旭日图,Sunburst Chart,"组成,层级",从中心向外辐射的多层环状图表，每一层代表一个层级，往外扩展显示更详细的分类信息,展示具有多层级结构的数据占比，适合表达层层递进的组织架构、文件目录等层级关系数据,需要层级结构数据：包含父子关系的多列类别(文本型)和最终的数值(数值型)。数据需要清晰的层级关系定义,Plotly,0
基础雷达图,Single Radar Chart,比较,将多个评价维度沿圆周方向均匀分布，并将每个维度的数值映射到相应的轴上，连接各点形成封闭的多边形,适用于多维度指标的综合评估分析，如产品性能评测、员工能力评估、运动员综合素质分析等，维度数通常为5-10个,需要两列数据：一列为维度指标名称(文本型)，一列为对应的评分值(数值型)。各维度数据包含相同的指标维度与单位，数值范围相近且避免出现数据为0,Plotly,1
分组雷达图,Grouped Radar Chart,比较,在同一个雷达坐标系中绘制多个数据系列，每个系列形成独立的多边形，便于多组数据的对比,适用于多个对象在相同维度下的对比分析，如不同产品的性能对比、竞争对手的优劣势分析等，建议对比组数不超过4个,需要多列数据：一列维度指标名称(文本型)，多列不同分组的评分值(数值型)。每组数据需要包含相同的指标维度与单位，数值范围相近且避免出现数据为0，指标数量一般建议3-8个，组别数量建议2-5个,Plotly,1
堆叠雷达图,Stacked Radar Chart,"比较,组成",在基础雷达图的基础上，将每个维度细分为多个子项，这些子项以堆叠的形式呈现在各个轴上,适用于展示各维度的构成要素及其贡献度，如细分市场份额分析、多层次能力评估等，每个维度的子项数建议不超过5个,需要三列数据：维度指标名称(文本型)、子项类别(文本型)、对应的数值(数值型)。数据需要包含维度与子项的层级关系，每个维度的数据可累加，每组数据需要包含相同的指标维度与单位，数值范围相近且避免出现数据为0,Plotly,1
基础玫瑰图,Single Rose Chart,比较,将数据映射到环形的扇区上，每个扇区的半径长度表示数值大小，角度均分的极坐标可视化图表,适用于展示周期性数据(如一年12个月的数据)、环形数据的分布情况，以及需要强调数据整体性和连续性的场景,需要两列数据：一列为类别(文本型)，一列为对应的数值(数值型)。每行表示一个扇区的类别及其对应的值,Matplotlib,1
分组玫瑰图,Grouped Rose Chart,比较,在基础玫瑰图的基础上，将每个扇区细分为多个子扇区，通过不同半径来区分同一角度内的不同分组,适合展示具有分组属性的周期性数据，比如不同年份每个月的数据对比，或需要在同一扇区内比较多个相关类别的数据,需要三列数据：一列为主类别(文本型)，一列为分组类别(文本型)，一列为对应的数值(数值型)。每行表示一个子扇区的数据,Matplotlib,1
堆叠玫瑰图,Stacked Rose Chart,"比较,组成",在基础玫瑰图的基础上，将每个扇区按照半径方向分层堆叠，不同层表示不同维度的数据,适用于展示具有层次关系的周期性数据，比如各月份中不同类别的占比构成，或需要同时展示总量和分布的场景,需要三列数据：一列为主类别(文本型)，一列为堆叠类别(文本型)，一列为对应的数值(数值型)。每行表示一个堆叠层的数据,Matplotlib,0
基础散点图,Scatter Plot,分布,在直角坐标系中绘制的点图，每个点的位置由X和Y两个变量的值决定，用于展示两个连续变量之间的关系,用于分析两个连续变量之间的相关性、识别数据分布模式、发现异常值，以及展示数据聚类现象,需要两列数值型数据，分别对应X轴和Y轴坐标。每行数据代表一个观测点的X、Y值,Matplotlib,0
气泡图,Bubble Plot,分布,"基于散点图的扩展，除了X和Y轴坐标外，还通过圆点大小表示第三个变量的数值大小""",适用于同时展示三个数值变量之间的关系，比如分析产品价格、销量和利润率的关系,需要三列数值型数据：两列用于确定气泡位置(X、Y坐标)，第三列用于确定气泡大小,Plotly,0
象限图,Quadrant Plot,分布,将散点图区域划分为四个象限，通常以两个变量的平均值或指定阈值作为分隔线,用于战略分析、产品组合评估、客户分群等需要将数据点分为四个区域进行分析的场景,需要两列数值型数据作为X、Y轴坐标，可选添加类别标签列。同时需要设定X、Y轴的分隔阈值,Plotly,0
分类散点图,stripplot,"比较,分布",在每个类别下随机水平分布的散点图，点的垂直位置表示数值大小，水平位置随机分布以避免重叠,展示各类别下数据分布情况，观察数据的离散程度和分布特征，适合显示原始数据点的分布状态,需要两列数据：一列为分类变量(文本型)，一列为数值变量(数值型)。每行代表一个观测值,Matplotlib,0
成簇散点图,swarmplot,"比较,分布",类似于分类散点图，但通过算法调整点的水平位置，使点互不重叠，形成蜂群状的分布,当需要同时展示数据分布和避免点重叠时使用，适合观察各类别中数据点的密度分布和具体取值,需要两列数据：一列为分类变量(文本型)，一列为数值变量(数值型)。每行代表一个观测值,Matplotlib,0
小提琴图,Violin Plot,"比较,分布",结合箱线图和核密度估计的图形，两侧对称，宽度表示数据密度，形状类似小提琴,用于展示数据分布的概率密度，显示数据的集中趋势、离散程度和多峰特征，适合比较多个类别的分布特征,需要两列数据：一列为分类变量(文本型)，一列为数值变量(数值型)。每行代表一个观测值,Matplotlib,0
基础热力图,Heatmap Plot,分布,使用不同颜色深浅或色调来表示数值大小的二维矩阵可视化图表，通常以矩形网格的形式展现，每个单元格的颜色强度对应其数值大小,适用于展示二维数据之间的关系强度、频率分布、相关性分析，以及大规模数据集中的模式识别。常用于基因表达、相关系数矩阵、用户行为分析等场景,需要三列数据：两个维度变量(可以是类别型或数值型)和一个数值型变量。数据需要能够形成完整的二维矩阵结构,Matplotlib,0
日历图,Calendar Heatmap,"分布,趋势",以日历形式展示的热力图，使用颜色深浅来表示不同日期的数值大小，通常按月或年来组织日期单元格,适用于展示按日期统计的数据变化趋势，如网站日访问量、股票交易量、天气温度等时序数据，特别适合展示具有周期性特征的数据,需要两列数据：日期(日期型)和对应的数值(数值型)。日期需要是标准格式，数值用于确定颜色深浅,Matplotlib,1
华夫图,Waffle Chart,组成,使用网格状的小方块组成的图表，每个方块代表一个固定比例或单位数量，通过不同颜色的方块数量来表示占比,适用于展示百分比数据或计数数据，特别适合需要直观显示比例且便于计数的场景，如人口构成、投票结果等，通常使用10×10的网格(共100个方块),需要两列数据：类别(文本型)和对应的数值或百分比(数值型)。数值总和通常为100或可以转换为百分比,Matplotlib,1
仪表盘图,Gauge graph,比较,模拟汽车仪表盘的半圆形或圆形度量图表，使用指针或填充区域显示单个数值在预设范围内的位置,适用于展示单个指标在某个范围内的表现程度，如目标完成率、满意度评分、性能指标等需要直观展示程度的场景,需要一个当前值（数值型）以及最小值和最大值来确定度量范围，可选择性添加警戒值或目标值,Plotly,1
半圆环进度图,Semi-circular Progress Chart,比较,"一种以半圆弧形方式展示进度或比例的图表,通过填充半圆环的程度来直观表达完成率或占比情况,常见于各类仪表盘和数据展示界面","用于展示任务完成度、目标达成率、资源使用率等单一指标的进度情况,或表达某个部分在整体中的占比关系","通常只需要一个百分比数值(0-100%),或一个分子分母构成的比例数据,适合表达单个指标的完成情况",Matplotlib,1
条形进度图,Bar Progress Chart,比较,"在水平或垂直的条形图基础上,通过不同颜色或纹理区分已完成和未完成的部分,形象地展示进度完成情况的可视化图表","展示项目进度、目标达成率、完成度等需要对比目标值和实际值的场景,如项目里程碑完成度、销售目标达成率、预算执行率等","需要一个目标值(总量)和一个实际值(已完成量),两个值构成对比关系,通常以百分比形式呈现,数据维度简单",Plotly,1
圆环进度图,Circular Progress Chart,比较,"在圆环形状基础上,使用填充弧长来表示进度或比例的数据可视化图表,常用不同颜色区分已完成和未完成部分",展示任务完成进度、目标达成率、资源使用占比等单一指标的完成情况;适合在仪表盘或数据大屏中作为关键指标展示,"单一数值型指标,通常为百分比形式(0-100%)",Matplotlib,1
折线-柱状图,Line-Column Combination Chart,"比较,分布,趋势","在同一个坐标系中,将折线图和柱状图结合展示,通常使用双Y轴,一边用柱形显示一组数据,另一边用折线显示另一组数据","需要同时对比分析两种不同量级或不同性质的数据变化趋势时,比如销售额(柱形)和增长率(折线)的对比,或者收入(柱形)和利润率(折线)的关系分析","包含两组相关但量级或度量单位不同的数据系列,通常具有共同的时间维度或分类维度,一组适合用量值展示,另一组适合用趋势展示",Plotly,1
折线-面积图,Line-Area Combination Chart,"比较,分布,趋势","结合折线图和填充面积图,面积填充强调数值规模",展示趋势同时强调数值体量、显示累计效应、对比趋势和规模,"包含连续型时间序列数据,需要同时关注趋势和规模",Plotly,1
双Y轴折线图,Dual Y-Axis Line Chart,"比较,趋势",使用两个Y轴分别绘制不同量级或单位的折线,比较不同量级指标的变化趋势、分析指标相关性、对比不同单位的指标,包含两组不同量级或单位的时间序列数据,Plotly,1
双Y轴柱状图,Dual Y-Axis Bar Chart,"比较,分布",在同一图表中使用两个Y轴，一个在左侧，一个在右侧，可以同时展示两组具有不同量级或单位的数据,需要比较两组具有不同数量级或不同度量单位的相关数据时，如同时展示销售额（元）和销售量（件），或者温度（℃）和降雨量（mm）等,两组数据具有共同的X轴类别，但Y轴数值范围或单位不同；两组数据之间存在某种关联性，需要进行对比或分析,Plotly,1
多子图柱状图,Multiple Subplot Bar Chart,"比较,分布",将多个独立的柱形图按照一定布局规则（如上下、左右或网格）组合在一起展示，每个子图可以包含不同的数据系列和比较对象,需要在同一页面展示多个相关但独立的数据对比分析，如不同地区的销售数据对比、多个产品的性能指标比较、不同时期的数据趋势对比等,数据集包含多个独立的系列，每个系列都有自己的分类变量和对应的数值变量，各系列之间可能存在关联但相对独立，适合分别展示并进行整体比较,Plotly,1
多子图面积图,Multiple Subplot Area Chart,"比较,趋势","将多个面积图按行列布局排列在同一画布中,每个子图展示一个不同的面积关系,子图间可以共享坐标轴",需要同时对比多个不同指标或维度的面积趋势变化;不同数据集之间存在关联但又需要分开展示;展示多个时间序列数据的累积效应,"多组时序数据,每组数据都包含连续的时间维度和对应的数值;数据集之间有一定关联性但各自独立;各组数据的数值范围可能不同",Plotly,1
多子图折线图,Multiple Subplot Line Chart,"比较,趋势","由多个独立的折线图子图组成,每个子图可以展示不同维度或主题的折线趋势,子图之间保持布局的一致性和关联性",需要在一个视图中对比多个相关但独立的时间序列数据;展示同一指标在不同维度下的变化趋势;分析多个变量之间的相关性和差异,包含多组时间序列数据;每组数据都有独立的时间维度和数值维度;数据之间存在一定的关联性但又相对独立;各组数据的观测频率和时间跨度相近,Plotly,1
多子图饼图,Multiple Subplot Pie Chart,"比较,组成","由多个独立的饼图子图组成,每个饼图展示不同维度或时期的占比分布情况,子图之间保持布局的规整性和视觉上的关联性",需要在同一视图中对比多个相关但独立的占比分布;展示同一指标在不同时期的结构变化;分析多个分类变量的构成差异;对比不同群体或地区的构成比例,包含多组分类数据及其对应的数值;每组数据都能构成完整的100%比例;各组数据有相似的分类维度但具体占比不同;数据需要有明确的分组标准如时间、地区或人群等,Plotly,1